id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy",ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",802.132,2020-10-16,8.4,2564
632632,Given,"Animation,Drama,Music,Romance",ja,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",92.227,2020-08-22,8.4,324
901,City Lights,"Comedy,Drama,Romance",en,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",13.321,1931-02-01,8.4,1661
12493,High and Low,"Crime,Drama,Mystery,Thriller",ja,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,10.462,1963-03-01,8.4,601
914,The Great Dictator,"Comedy,War",en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,17.663,1940-10-15,8.4,2659
807,Se7en,"Crime,Mystery,Thriller",en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",47.045,1995-09-22,8.4,17351
361743,Top Gun: Maverick,"Action,Drama",en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",7567.017,2022-05-24,8.4,1690
128,Princess Mononoke,"Adventure,Fantasy,Animation",ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",42.985,1997-07-12,8.3,6405
644479,Dedicated to my ex,"Drama,Comedy",es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",12.695,2019-11-01,8.3,473
274,The Silence of the Lambs,"Crime,Drama,Thriller",en,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",11.372,1991-02-01,8.3,13478
25237,Come and See,"Drama,History,War",ru,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",12.869,1985-07-09,8.3,961
